year,audit_priority_decile,line_count,providers,total_services,estimated_medicare_payment,high_charge_ratio_flags,high_service_intensity_flags,rapid_growth_flags,all_lines,all_payment,all_services,line_share,payment_share,service_share
2023,1,11790,10366,350467.0,19702188.47000036,23,0,0,117901,1206574258.0000515,19083260.9,0.09999915183077328,0.01632903100606305,0.018365152676815315
2023,2,11790,10465,553128.0,32605633.189997304,854,0,0,117901,1206574258.0000515,19083260.9,0.09999915183077328,0.02702331246817957,0.028984983378810277
2023,3,11790,10353,741690.0,45019390.469994046,946,0,0,117901,1206574258.0000515,19083260.9,0.09999915183077328,0.03731174452918929,0.03886599904946015
2023,4,11790,10394,899975.0,56249106.130019404,1079,0,0,117901,1206574258.0000515,19083260.9,0.09999915183077328,0.04661885147728471,0.04716044101246868
2023,5,11790,10392,1138864.0,72070068.60997331,1156,3,0,117901,1206574258.0000515,19083260.9,0.09999915183077328,0.059731150513216265,0.05967868940051017
2023,6,11790,10306,1429170.0,90671589.04999074,1163,13,0,117901,1206574258.0000515,19083260.9,0.09999915183077328,0.07514795583347086,0.07489128862667283
2023,7,11790,10288,1855901.0,122565100.58002715,1240,44,0,117901,1206574258.0000515,19083260.9,0.09999915183077328,0.10158106703120291,0.09725282328451529
2023,8,11790,10297,2471163.8,161802241.85999903,1421,266,0,117901,1206574258.0000515,19083260.9,0.09999915183077328,0.1341005253403907,0.1294937910742498
2023,9,11790,10458,3581577.0,231739467.60003322,1661,1354,0,117901,1206574258.0000515,19083260.9,0.09999915183077328,0.19206399114145806,0.18768160320021618
2023,10,11791,9826,6061325.1,374149472.04001695,2264,7297,0,117901,1206574258.0000515,19083260.9,0.10000763352304051,0.3100923706595446,0.31762522829628137
2024,1,11950,10418,347355.0,19289138.74000405,26,0,23,119504,1182224267.1000469,18721396.0,0.09999665283170438,0.016315972592340376,0.01855390484769405
2024,2,11950,10509,517532.0,30796868.93998802,803,0,142,119504,1182224267.1000469,18721396.0,0.09999665283170438,0.026049938067615224,0.02764387869366152
2024,3,11951,10502,709859.0,42995883.079998024,864,0,301,119504,1182224267.1000469,18721396.0,0.10000502075244343,0.03636863518752272,0.03791699080560018
2024,4,11950,10501,902037.0,55300588.469999455,1036,1,485,119504,1182224267.1000469,18721396.0,0.09999665283170438,0.04677673264620916,0.048182144109338854
2024,5,11951,10547,1139718.0,71213880.07997745,1176,3,750,119504,1182224267.1000469,18721396.0,0.10000502075244343,0.060237200387251826,0.06087783197364128
2024,6,11950,10447,1389240.0,89009546.37002885,1173,6,765,119504,1182224267.1000469,18721396.0,0.09999665283170438,0.07528989959609443,0.07420600472315206
2024,7,11950,10448,1820605.0,121812533.51998739,1259,64,1023,119504,1182224267.1000469,18721396.0,0.09999665283170438,0.10303673922951108,0.09724728861031517
2024,8,11951,10459,2453167.0,160749611.96003243,1503,353,1501,119504,1182224267.1000469,18721396.0,0.10000502075244343,0.13597218094189978,0.13103547406400676
2024,9,11950,10536,3511193.0,227711249.70996645,1760,1430,1913,119504,1182224267.1000469,18721396.0,0.09999665283170438,0.19261256603075308,0.18754974255124993
2024,10,11951,10055,5930690.0,363344966.23006475,2368,7249,2420,119504,1182224267.1000469,18721396.0,0.10000502075244343,0.30734013532080234,0.3167867396213402
