year,code_family,lines,providers,services,estimated_medicare_payment,median_services_per_beneficiary,median_charge_to_allowed_ratio,top_decile_lines
2023,Established outpatient E/M,69317,35187,10632711.9,796817977.9700339,1.24,1.9449829968843106,8601
2023,Subsequent hospital care,11946,11924,2377449.0,145687852.04001436,1.861544133136718,2.1852964844857006,1626
2023,New outpatient E/M,23622,17504,1123078.0,105053396.95002621,1.0,2.1236338380427755,179
2023,Emergency department E/M,4001,4001,627427.0,86520915.09996283,1.0217391304347827,6.616442704254206,334
2023,Therapeutic procedure,5574,5574,3923565.0,68462204.65001535,9.335205992509364,3.367796857055832,660
2023,Electrocardiogram,3441,3441,399030.0,4031911.289998873,1.0454545454545454,5.175038051750381,391
2024,Established outpatient E/M,70722,35767,10592323.0,794028016.5200841,1.2372881355932204,2.0664142671321137,8689
2024,Subsequent hospital care,12000,11957,2243133.0,134221558.0499874,1.8355575065847234,2.279993441876469,1672
2024,New outpatient E/M,23807,17496,1102143.0,102542393.7400297,1.0,2.2196747376235924,196
2024,Emergency department E/M,4088,4088,633701.0,83646042.08993815,1.0219298245614035,6.80362973731757,349
2024,Therapeutic procedure,5684,5683,3768222.0,64003004.09000692,8.85480093676815,3.4981155100251726,703
2024,Electrocardiogram,3203,3203,381874.0,3783252.6100005414,1.0465116279069768,5.345911949685535,342
