year,state,hcpcs_code,rows_downloaded,source_dataset_id
2023,IN,99203,3542,0e9f2f2b-7bf9-451a-912c-e02e654dd725
2023,IN,99204,4836,0e9f2f2b-7bf9-451a-912c-e02e654dd725
2023,IN,99213,11171,0e9f2f2b-7bf9-451a-912c-e02e654dd725
2023,IN,99214,11017,0e9f2f2b-7bf9-451a-912c-e02e654dd725
2023,IN,99215,2853,0e9f2f2b-7bf9-451a-912c-e02e654dd725
2023,IN,99232,3974,0e9f2f2b-7bf9-451a-912c-e02e654dd725
2023,IN,99285,1366,0e9f2f2b-7bf9-451a-912c-e02e654dd725
2023,IN,93000,1000,0e9f2f2b-7bf9-451a-912c-e02e654dd725
2023,IN,97110,1470,0e9f2f2b-7bf9-451a-912c-e02e654dd725
2023,IL,99203,6314,0e9f2f2b-7bf9-451a-912c-e02e654dd725
2023,IL,99204,8930,0e9f2f2b-7bf9-451a-912c-e02e654dd725
2023,IL,99213,18066,0e9f2f2b-7bf9-451a-912c-e02e654dd725
2023,IL,99214,19625,0e9f2f2b-7bf9-451a-912c-e02e654dd725
2023,IL,99215,6585,0e9f2f2b-7bf9-451a-912c-e02e654dd725
2023,IL,99232,7972,0e9f2f2b-7bf9-451a-912c-e02e654dd725
2023,IL,99285,2635,0e9f2f2b-7bf9-451a-912c-e02e654dd725
2023,IL,93000,2441,0e9f2f2b-7bf9-451a-912c-e02e654dd725
2023,IL,97110,4104,0e9f2f2b-7bf9-451a-912c-e02e654dd725
2024,IN,99203,3383,335e5f35-eca6-482d-87b3-f99883e213e3
2024,IN,99204,4949,335e5f35-eca6-482d-87b3-f99883e213e3
2024,IN,99213,11066,335e5f35-eca6-482d-87b3-f99883e213e3
2024,IN,99214,11334,335e5f35-eca6-482d-87b3-f99883e213e3
2024,IN,99215,2989,335e5f35-eca6-482d-87b3-f99883e213e3
2024,IN,99232,4024,335e5f35-eca6-482d-87b3-f99883e213e3
2024,IN,99285,1404,335e5f35-eca6-482d-87b3-f99883e213e3
2024,IN,93000,927,335e5f35-eca6-482d-87b3-f99883e213e3
2024,IN,97110,1491,335e5f35-eca6-482d-87b3-f99883e213e3
2024,IL,99203,6255,335e5f35-eca6-482d-87b3-f99883e213e3
2024,IL,99204,9220,335e5f35-eca6-482d-87b3-f99883e213e3
2024,IL,99213,17959,335e5f35-eca6-482d-87b3-f99883e213e3
2024,IL,99214,20297,335e5f35-eca6-482d-87b3-f99883e213e3
2024,IL,99215,7077,335e5f35-eca6-482d-87b3-f99883e213e3
2024,IL,99232,7976,335e5f35-eca6-482d-87b3-f99883e213e3
2024,IL,99285,2684,335e5f35-eca6-482d-87b3-f99883e213e3
2024,IL,93000,2276,335e5f35-eca6-482d-87b3-f99883e213e3
2024,IL,97110,4193,335e5f35-eca6-482d-87b3-f99883e213e3
