year,provider_state,provider_type,hcpcs_code,hcpcs_description,place_of_service,line_count,provider_count,beneficiaries,services,estimated_medicare_payment,average_services_per_beneficiary,average_charge_to_allowed_ratio
2023,IL,Internal Medicine,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,2064,2064,329152,639955.0,55854446.890020266,1.9223980380608352,1.9220608508419923
2023,IL,Emergency Medicine,99285,Emergency department visit with high level of medical decision making,F,1947,1947,365903,379039.0,54696546.70997563,1.0319304239902574,5.881267570688971
2024,IL,Internal Medicine,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,2005,2005,317969,616115.0,53336866.8700153,1.9239657508698942,1.997418974598744
2024,IL,Emergency Medicine,99285,Emergency department visit with high level of medical decision making,F,2018,2018,371663,385376.0,53053403.279960044,1.0328219980134716,6.029556343795086
2023,IL,Physical Therapist in Private Practice,97110,"Therapy procedure using exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",O,3409,3409,219032,2608828.0,45996043.74001976,12.507688390600125,3.533161536756142
2023,IL,Family Practice,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,2277,2277,294799,532055.0,44843212.85999055,1.770878542654204,1.957910739766096
2024,IL,Family Practice,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,2281,2281,293122,529124.0,44230281.239994474,1.765866463971041,2.0943695386913257
2024,IL,Physical Therapist in Private Practice,97110,"Therapy procedure using exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",O,3521,3521,217822,2494821.0,42788582.03999821,12.05500543450646,3.62859432394529
2024,IL,Nurse Practitioner,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,3252,3252,290781,435082.0,31960499.949996628,1.499455362610646,2.5775588132161684
2023,IN,Family Practice,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,1579,1579,216738,409639.0,31274296.68999267,1.7680366711968634,1.6909207311609793
2024,IN,Family Practice,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,1557,1557,208249,394677.0,29941057.9600066,1.7773598874760508,1.7974310417204145
2023,IL,Nurse Practitioner,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,2897,2897,260851,384933.0,28343799.539997574,1.472963359611215,2.5154824416021637
2024,IN,Nurse Practitioner,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,2817,2817,264322,407538.0,27726139.920000177,1.5514148847945928,2.233391726627402
2023,IN,Nurse Practitioner,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,2657,2657,249219,386845.0,26353700.700001564,1.5424717061918678,2.0769717475788143
2023,IL,Internal Medicine,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,1431,1431,129450,365408.0,23153241.62000389,2.607362792496895,2.683672751153755
2024,IL,Internal Medicine,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,1416,1416,123380,346982.0,21400116.98000399,2.567382940847089,2.9710055810985607
2023,IN,Emergency Medicine,99285,Emergency department visit with high level of medical decision making,F,877,877,153802,159599.0,21081350.39997721,1.0351185396373395,6.001526160877245
2024,IN,Emergency Medicine,99285,Emergency department visit with high level of medical decision making,F,882,882,156459,162702.0,20695166.329985842,1.036012475421892,6.2103519517473735
2023,IL,Cardiology,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,503,503,133292,208590.8,18852029.990001593,1.5156105066865655,2.0558574522035835
2023,IN,Internal Medicine,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,650,650,118452,234674.0,18471821.20999699,1.8530246328877351,1.6647005687480823
2024,IL,Cardiology,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,494,494,128603,195596.0,17614583.82000758,1.4690937637245671,2.1922282220020297
2024,IN,Internal Medicine,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,613,613,111119,221539.0,17446380.520001072,1.8681703200072013,1.7225964055587677
