rendering_npi,provider_name,provider_state,provider_city,provider_type,scored_lines,distinct_hcpcs_codes,total_services,estimated_medicare_payment,mean_audit_priority_score,max_audit_priority_score,top_decile_lines,high_charge_ratio_flags,high_service_intensity_flags,rapid_growth_flags
1619222544,"Nawaz, Muhammad Sarfraz",IN,Indianapolis,Internal Medicine,7,5,1677.0,132136.800000133,73.89089881656768,91.41683366733467,5,4,2,0
1790948180,"Sidani, Amer",IN,Hobart,Hematology-Oncology,7,4,1559.0,127961.509999705,71.27595648897316,83.61521418020679,5,0,5,0
1487034674,"Chakos, Daniel",IL,Hinsdale,Hematology-Oncology,9,5,858.0,63188.410000065,60.55985289897956,83.16983055166263,5,0,4,2
1326039272,"Longe, Harold",IN,Fishers,Hematology-Oncology,7,4,877.0,63472.329999782,69.15930367151886,80.79601990049751,5,0,6,1
1518035369,"Kurra, Geeta",IN,Merrillville,Hematology-Oncology,7,5,3928.0,221986.989999774,61.63202887755609,77.40223463687151,5,0,5,0
1861428583,"Narula, Sunil",IL,Chicago,Hematology-Oncology,4,4,1534.0,112351.329999758,80.48626936422322,95.34695380084669,4,3,1,1
1497813927,"Mclean, Keith",IN,Madison,Cardiology,6,6,1063.0,81385.239999753,73.06016609313798,94.2429859719439,4,5,1,4
1730136953,"Naqvi, Tahir",IN,Anderson,Hematology,6,5,2978.0,205633.010000678,69.52375271639409,94.15805022156574,4,5,1,0
1366581209,"Williamson, Michael",IN,Richmond,Hematology-Oncology,8,4,877.0,79821.240001036,63.0443637496257,93.95147313691508,4,8,2,0
1770994808,"Mahngar, Naina",IN,Granger,Hematology-Oncology,9,5,1920.0,141849.579999938,63.135347799961295,92.90380761523046,4,3,2,4
1023017019,"Nguyen, Paul",IL,Sycamore,Cardiology,5,5,3146.0,197098.96000006,76.6917467422125,92.4250629722922,4,1,2,3
1417137365,"Park, Chandler",IN,Corydon,Hematology-Oncology,4,2,1500.0,135556.749999217,80.24642200659383,92.31550580431178,4,2,2,0
1922034156,"Mulherin, Brian",IN,Indianapolis,Hematology-Oncology,7,5,1542.0,122744.480000398,70.64984308815269,91.95090180360721,4,4,2,0
1861657785,"Mohammed, Tabraiz",IL,Chicago,Hematology-Oncology,5,5,1293.0,105863.469999415,74.84127090974854,89.96584417878806,4,4,2,0
1811949035,"Geeta, Manjeet",IN,Portage,Family Practice,6,6,3058.0,223765.81000015553,69.75616624568879,87.90731462925852,4,1,3,2
1144781113,"Vonasek, Austin",IN,Mishawaka,Podiatry,4,4,791.0,77389.109999122,75.15800510779643,87.58256605284228,4,0,1,4
1295078418,"Kumar, Priyanka",IN,East Chicago,Urology,6,6,1475.0,115611.50999973701,67.42463696174612,85.61567164179105,4,6,1,0
1417199670,"Dammrich, Daniel",IL,Lake Forest,Hematology-Oncology,5,5,2054.0,186360.96000089002,72.34519996991443,84.58924680525294,4,0,2,0
1376807453,"Saad, Nibal",IN,Crawfordsville,Medical Oncology,9,5,1457.0,108398.050000502,55.44982700000642,83.21724709784412,4,1,3,0
1134168578,"Okeke, Ifeoma",IN,New Albany,Medical Oncology,6,5,1760.0,160644.629998928,62.13567599869187,82.9726368159204,4,0,1,2
1912917030,"Burke, Martin",IL,Chicago,Clinical Cardiac Electrophysiology,6,6,2459.0,204600.44000006403,61.796098957032534,82.03841309823677,4,2,1,1
1043207251,"Manjunath, Rajini",IL,Elgin,Hematology-Oncology,7,5,2736.0,223113.07000046602,63.70676131827999,81.52280545292395,4,0,3,0
1396705430,"Smith, Daniel",IN,Dyer,Infectious Disease,7,4,821.0,72829.419999601,68.1630585729906,81.44278606965176,4,0,4,0
1427331347,"Kalk, Jason",IL,Chicago,Podiatry,7,4,1128.0,102126.61000215,60.37369567845139,79.74736470172546,4,0,4,2
1720426513,"Jelinek, Michael",IL,Chicago,Medical Oncology,5,3,668.0,64728.639998807004,60.18755692470677,74.38260340632604,4,0,4,0
1336923572,"Vanzile, Sarah",IN,Indianapolis,Nurse Practitioner,4,2,471.0,22382.049999991,70.82162231956043,73.82681564245809,4,0,4,2
1538189808,"Parise, Laura",IL,Highland Park,Psychiatry,4,2,669.0,52045.950000226,70.90199525370213,73.38224181360201,4,0,4,0
1427065341,"Emerson, Quentin",IN,Fort Branch,Family Practice,4,3,659.0,52523.429999515996,72.67856777853206,73.3665008291874,4,0,4,1
1104082809,"Farhat, Mohamed",IN,Crown Point,Hematology-Oncology,4,4,1732.0,143393.47999789,73.8691633482029,98.74585406301823,3,4,1,1
1063442051,"Cha, Daniel",IL,Skokie,Anesthesiology,4,4,982.0,74293.06000028999,74.31746073868763,98.04879602497134,3,4,1,1
1063605921,"Beck, Jeffrey",IN,Terre Haute,Physical Medicine and Rehabilitation,4,4,2050.0,181544.18000110198,79.83909913494975,97.43086172344691,3,4,1,2
1174671937,"Srokowski, Tomasz",IL,Springfield,Hematology-Oncology,6,6,846.0,74007.509999906,69.74750521889854,94.45794220504325,3,6,2,1
1760596886,"Rock, Michael",IL,Chicago,Interventional Pain Management,3,3,2056.0,207291.330006486,84.1274319880272,94.38460632471586,3,3,2,0
1295937555,"Primus, Gregory",IL,Tinley Park,Orthopedic Surgery,4,4,1637.0,55133.699999635995,76.76062116211138,94.26487450630654,3,4,1,2
1295735058,"Birhiray, Ruemu",IN,Indianapolis,Hematology-Oncology,4,4,2253.0,204072.10999618602,78.45047709904529,93.40796019900498,3,3,2,0
1093704801,"Abdel-Latief, Ahmed",IN,South Bend,Cardiology,5,4,2999.0,120206.819999468,61.695462721179,93.13915857605178,3,1,1,0
1255695136,"Usman-Oyowe, Ibrahim",IL,Chicago,Physical Medicine and Rehabilitation,4,4,2262.0,163064.180000216,77.07757186788803,93.01089310740221,3,3,3,0
1942229810,"Khan, Naeem",IL,Centralia,Cardiology,4,4,1414.0,91525.680000992,70.03962769521856,92.84929701230229,3,1,3,0
