provider_type,lines,providers,estimated_medicare_payment,high_charge_ratio_flags,high_service_intensity_flags,high_payment_volume_flags,rapid_growth_flags
Internal Medicine,10654,4531,144042681.46001363,791,1341,1397,756
Nurse Practitioner,21585,9886,132249692.67998417,3454,1570,776,1846
Family Practice,11513,4577,120407196.51000959,693,1161,863,756
Emergency Medicine,3657,3072,78297475.38994586,280,29,441,336
Cardiology,4459,992,56909047.38001567,279,220,770,334
Physical Therapist in Private Practice,4744,4743,55531221.94999843,524,456,516,513
Physician Assistant,8777,3914,49917627.520009644,1536,214,318,686
Orthopedic Surgery,4172,1148,38470108.6100018,442,91,569,344
Hematology-Oncology,2278,593,36889552.24001408,198,567,479,262
Ophthalmology,2118,741,36047724.42001848,175,89,534,189
Dermatology,2106,617,33493129.929996036,183,27,523,202
Podiatry,3079,961,32192221.439989984,133,594,667,271
Urology,2206,516,28967224.699990004,216,15,425,175
Nephrology,1852,572,25418305.88999676,170,189,253,129
Neurology,2570,835,23278547.24000168,199,58,244,201
Pulmonary Disease,2107,597,21405675.580000896,112,63,201,178
Interventional Cardiology,1659,356,20604726.990005456,108,34,246,127
Optometry,3158,1607,19810548.380006462,43,81,138,190
Physical Medicine and Rehabilitation,1134,424,18624229.790009994,100,201,239,105
Hospitalist,1546,1267,18587488.8899996,151,48,188,145
Otolaryngology,1749,465,15831382.559995217,120,15,297,131
Endocrinology,1178,348,15429602.310011227,99,69,141,83
Gastroenterology,2661,780,14993410.290001703,187,10,96,170
Psychiatry,1338,844,14980565.699998531,73,760,105,108
Rheumatology,892,281,12322964.039997295,78,74,142,57
General Surgery,2955,1005,10581275.769993845,254,86,66,112
Clinical Cardiac Electrophysiology,918,185,10516356.360005196,50,70,193,78
Medical Oncology,572,140,9095503.60000579,57,158,112,45
Infectious Disease,882,350,8455176.639997818,63,80,82,60
Pain Management,451,136,6835719.37000057,113,76,113,47
Anesthesiology,622,235,6831120.820006226,136,87,123,69
Occupational Therapist in Private Practice,764,764,6775936.570007184,35,96,43,92
Obstetrics & Gynecology,1651,896,6484417.370002671,156,67,47,50
Sports Medicine,579,146,5035860.580003649,51,15,89,49
Hand Surgery,456,119,4968952.110000675,42,5,105,33
Interventional Pain Management,222,72,3925420.02001151,40,46,61,9
Neurosurgery,774,230,3561547.970000079,62,6,40,43
Vascular Surgery,572,155,3358020.659994436,65,13,39,56
Allergy/ Immunology,544,184,3335559.590000593,40,33,14,25
Critical Care (Intensivists),389,169,3076160.729996369,21,13,32,32
Radiation Oncology,635,254,2661264.119998983,89,1,29,30
Geriatric Medicine,223,85,2410167.660003456,20,26,17,12
General Practice,186,86,2070151.0900000976,5,58,24,9
Hematology,97,27,1975029.990002578,10,24,21,10
Sleep Medicine,203,56,1680473.040001499,14,5,21,19
Advanced Heart Failure and Transplant Cardiology,190,53,1644591.2599993742,13,12,18,13
Certified Clinical Nurse Specialist,237,127,1570673.3500007468,36,39,14,22
Plastic and Reconstructive Surgery,321,153,1145594.100002928,53,11,15,6
Colorectal Surgery (Proctology),354,97,1118849.560000581,55,6,4,10
Thoracic Surgery,267,111,1090208.610000572,11,2,9,19
Gynecological Oncology,166,54,975416.580000014,17,29,2,9
Pediatric Medicine,140,73,809196.5399993543,24,10,0,8
Hospice and Palliative Care,130,76,794665.4600017571,3,23,2,12
Cardiac Surgery,107,53,665066.1999983987,1,2,7,5
Micrographic Dermatologic Surgery,33,12,586756.269999063,0,0,12,4
Surgical Oncology,155,57,564354.989999582,11,1,4,3
Osteopathic Manipulative Medicine,61,27,488808.919999036,5,4,3,11
Interventional Radiology,105,51,436005.900000936,15,2,4,5
Neuropsychiatry,52,20,332333.770000476,0,2,3,3
Diagnostic Radiology,94,53,304882.909999702,21,4,5,1
Hematopoietic Cell Transplantation and Cellular Therapy,9,5,182998.909998249,0,6,5,3
Certified Nurse Midwife,25,18,143463.609999869,3,1,2,2
Undefined Physician type,9,4,140778.039999918,1,0,3,0
Addiction Medicine,10,6,133795.779998882,0,2,2,1
Dentist,19,8,105305.320000216,8,0,3,1
Oral Surgery (Dentist only),22,13,99838.749999927,4,1,1,2
Nuclear Medicine,5,1,74072.5599999698,0,1,1,2
Pathology,13,10,70172.210000322,6,2,1,0
Adult Congenital Heart Disease,8,2,66437.840001409,0,0,1,2
Preventive Medicine,7,3,61692.959999634,4,0,0,2
Undersea and Hyperbaric Medicine,8,3,61599.260000506,0,3,1,1
Certified Registered Nurse Anesthetist (CRNA),16,9,56574.959999982006,0,1,2,0
Maxillofacial Surgery,23,16,52604.92000019,7,1,0,0
Peripheral Vascular Disease,8,2,41418.150000125,0,0,0,0
Independent Diagnostic Testing Facility (IDTF),13,13,33459.4799995643,2,0,4,1
Portable X-Ray Supplier,7,7,24032.660000086602,1,0,2,0
Geriatric Psychiatry,2,2,10111.040000072,0,0,0,1
Medical Genetics and Genomics,1,1,2040.2800000299999,0,0,0,0
