user_id,place_id,rating,food_rating,service_rating,high_rating,latitude,longitude,smoker,drink_level,dress_preference,ambience,transport,marital_status,hijos,birth_year,interest,personality,religion,activity,color,weight,budget,height,age,age_group,bmi,bmi_group,segment,segment_label,name,city,state,alcohol,alcohol_clean,smoking_area,dress_code,accessibility,price,price_value,rambience,franchise,area,other_services,concept_family,cuisine_match,payment_match,budget_value,price_at_or_below_budget,budget_price_fit
U1077,135085,2,2,2,1,22.156469,-100.98554,FALSE,social drinker,elegant,family,public,married,kids,1987,technology,thrifty-protector,Catholic,student,blue,65,medium,1.71,25,25-34,22.229061933586404,healthy,3,S3: Tech-focused students,Tortas Locas Hipocampo,San Luis Potosi,SLP,No_Alcohol_Served,No alcohol,not permitted,informal,no_accessibility,medium,2,familiar,FALSE,closed,none,Medium | price | No alcohol | Familiar,0,1,2,1,matches stated budget
U1077,135038,2,2,1,1,22.156469,-100.98554,FALSE,social drinker,elegant,family,public,married,kids,1987,technology,thrifty-protector,Catholic,student,blue,65,medium,1.71,25,25-34,22.229061933586404,healthy,3,S3: Tech-focused students,Restaurant la Chalita,San Luis Potosi,SLP,No_Alcohol_Served,No alcohol,section,informal,no_accessibility,medium,2,familiar,FALSE,closed,none,Medium | price | No alcohol | Familiar,0,1,2,1,matches stated budget
U1077,132825,2,2,2,1,22.156469,-100.98554,FALSE,social drinker,elegant,family,public,married,kids,1987,technology,thrifty-protector,Catholic,student,blue,65,medium,1.71,25,25-34,22.229061933586404,healthy,3,S3: Tech-focused students,puesto de tacos,s.l.p.,s.l.p.,No_Alcohol_Served,No alcohol,none,informal,completely,low,1,familiar,FALSE,open,none,Low | price | No alcohol | Familiar,1,1,2,1,below stated budget
U1077,135060,1,2,2,0,22.156469,-100.98554,FALSE,social drinker,elegant,family,public,married,kids,1987,technology,thrifty-protector,Catholic,student,blue,65,medium,1.71,25,25-34,22.229061933586404,healthy,3,S3: Tech-focused students,Restaurante Marisco Sam,San Luis Potosi,SLP,No_Alcohol_Served,No alcohol,none,informal,no_accessibility,medium,2,familiar,FALSE,closed,none,Medium | price | No alcohol | Familiar,0,1,2,1,matches stated budget
U1068,135104,1,1,2,0,23.752269,-99.168605,FALSE,casual drinker,informal,friends,public,single,independent,1988,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,24,18-24,29.21010994360826,overweight,3,S3: Tech-focused students,vips,NA,NA,Full_Bar,Full bar,not permitted,informal,completely,medium,2,familiar,TRUE,closed,variety,Medium | price | Full bar | Familiar,1,1,1,0,above stated budget
U1068,132740,0,0,0,0,23.752269,-99.168605,FALSE,casual drinker,informal,friends,public,single,independent,1988,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,24,18-24,29.21010994360826,overweight,3,S3: Tech-focused students,Carreton de Flautas y Migadas,Ciudad Victoria,Tamaulipas,No_Alcohol_Served,No alcohol,permitted,informal,completely,low,1,familiar,FALSE,open,none,Low | price | No alcohol | Familiar,1,1,1,1,matches stated budget
U1068,132663,1,1,1,0,23.752269,-99.168605,FALSE,casual drinker,informal,friends,public,single,independent,1988,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,24,18-24,29.21010994360826,overweight,3,S3: Tech-focused students,tacos abi,victoria,tamaulipas,No_Alcohol_Served,No alcohol,none,informal,completely,low,1,familiar,FALSE,closed,none,Low | price | No alcohol | Familiar,1,0,1,1,matches stated budget
U1068,132732,0,0,0,0,23.752269,-99.168605,FALSE,casual drinker,informal,friends,public,single,independent,1988,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,24,18-24,29.21010994360826,overweight,3,S3: Tech-focused students,Taqueria EL amigo,Cd Victoria,Tamaulipas,No_Alcohol_Served,No alcohol,none,casual,completely,low,1,familiar,FALSE,open,none,Low | price | No alcohol | Familiar,1,1,1,1,matches stated budget
U1068,132630,1,1,1,0,23.752269,-99.168605,FALSE,casual drinker,informal,friends,public,single,independent,1988,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,24,18-24,29.21010994360826,overweight,3,S3: Tech-focused students,palomo tec,victoria,tamaulipas,No_Alcohol_Served,No alcohol,none,informal,completely,low,1,familiar,FALSE,closed,none,Low | price | No alcohol | Familiar,1,0,1,1,matches stated budget
U1067,132584,2,2,2,1,23.752269,-99.168605,FALSE,abstemious,no preference,family,public,single,independent,1987,technology,thrifty-protector,Christian,student,green,92,medium,1.73,25,25-34,30.73941661933242,obese,1,S1: Quieter mixed students,Gorditas Dona Tota,NA,NA,No_Alcohol_Served,No alcohol,not permitted,informal,completely,medium,2,familiar,TRUE,closed,none,Medium | price | No alcohol | Familiar,1,1,2,1,matches stated budget
U1067,132733,1,1,1,0,23.752269,-99.168605,FALSE,abstemious,no preference,family,public,single,independent,1987,technology,thrifty-protector,Christian,student,green,92,medium,1.73,25,25-34,30.73941661933242,obese,1,S1: Quieter mixed students,Little Cesarz,Ciudad Victoria,Tamaulipas,No_Alcohol_Served,No alcohol,not permitted,informal,completely,medium,2,familiar,TRUE,closed,none,Medium | price | No alcohol | Familiar,0,1,2,1,matches stated budget
U1067,132732,1,2,2,0,23.752269,-99.168605,FALSE,abstemious,no preference,family,public,single,independent,1987,technology,thrifty-protector,Christian,student,green,92,medium,1.73,25,25-34,30.73941661933242,obese,1,S1: Quieter mixed students,Taqueria EL amigo,Cd Victoria,Tamaulipas,No_Alcohol_Served,No alcohol,none,casual,completely,low,1,familiar,FALSE,open,none,Low | price | No alcohol | Familiar,1,1,2,1,below stated budget
U1067,132630,1,0,1,0,23.752269,-99.168605,FALSE,abstemious,no preference,family,public,single,independent,1987,technology,thrifty-protector,Christian,student,green,92,medium,1.73,25,25-34,30.73941661933242,obese,1,S1: Quieter mixed students,palomo tec,victoria,tamaulipas,No_Alcohol_Served,No alcohol,none,informal,completely,low,1,familiar,FALSE,closed,none,Low | price | No alcohol | Familiar,1,0,2,1,below stated budget
