segment_label,concept_family,n_ratings,avg_rating,high_rating_share,cuisine_match_share,price_within_budget_share,segment_rank
S1: Quieter mixed students,High | price | No alcohol | Familiar,40,1.225,0.5,0.125,0,1
S1: Quieter mixed students,Low | price | Wine or beer | Quiet,8,1.125,0.5,0,1,2
S1: Quieter mixed students,High | price | Wine or beer | Familiar,59,1.271186440677966,0.4915254237288136,0.01694915254237288,0.0392156862745098,3
S1: Quieter mixed students,Medium | price | Wine or beer | Familiar,67,1.208955223880597,0.43283582089552236,0.26865671641791045,0.5714285714285714,4
S1: Quieter mixed students,Medium | price | No alcohol | Familiar,185,1.1567567567567567,0.41621621621621624,0.1783783783783784,0.6981132075471698,5
S1: Quieter mixed students,High | price | Full bar | Familiar,20,1.1,0.4,0.05,0,6
S1: Quieter mixed students,Low | price | No alcohol | Familiar,129,1.0232558139534884,0.3178294573643411,0.2868217054263566,1,7
S1: Quieter mixed students,Medium | price | Full bar | Familiar,19,1,0.2631578947368421,0.47368421052631576,0.7777777777777778,8
S1: Quieter mixed students,Low | price | Wine or beer | Familiar,15,0.8666666666666667,0.2,0.06666666666666667,1,9
S1: Quieter mixed students,Low | price | No alcohol | Quiet,11,1.1818181818181819,0.18181818181818182,0.18181818181818182,1,10
S2: Mobile social students,Medium | price | Wine or beer | Familiar,29,1.5172413793103448,0.6896551724137931,0.2413793103448276,0.6896551724137931,1
S2: Mobile social students,High | price | Full bar | Familiar,12,1.3333333333333333,0.5,0.16666666666666666,0.08333333333333333,2
S2: Mobile social students,Medium | price | No alcohol | Familiar,79,1.3164556962025316,0.4936708860759494,0.10126582278481013,0.810126582278481,3
S2: Mobile social students,Low | price | No alcohol | Quiet,11,1,0.45454545454545453,0.45454545454545453,1,4
S2: Mobile social students,High | price | Wine or beer | Familiar,27,1.2592592592592593,0.4444444444444444,0.037037037037037035,0.037037037037037035,5
S2: Mobile social students,High | price | No alcohol | Familiar,14,1,0.35714285714285715,0.07142857142857142,0,6
S2: Mobile social students,Low | price | No alcohol | Familiar,69,1.0579710144927537,0.3188405797101449,0.2608695652173913,1,7
S3: Tech-focused students,High | price | Full bar | Familiar,12,1.5833333333333333,0.75,0,0.08333333333333333,1
S3: Tech-focused students,High | price | Wine or beer | Familiar,35,1.4285714285714286,0.5428571428571428,0,0.08571428571428572,2
S3: Tech-focused students,Medium | price | No alcohol | Familiar,123,1.3414634146341464,0.45528455284552843,0.17073170731707318,0.6422764227642277,3
S3: Tech-focused students,Medium | price | Full bar | Familiar,9,1.3333333333333333,0.4444444444444444,0.7777777777777778,0.8888888888888888,4
S3: Tech-focused students,Medium | price | Wine or beer | Familiar,46,1.173913043478261,0.41304347826086957,0.1956521739130435,0.6956521739130435,5
S3: Tech-focused students,Low | price | No alcohol | Familiar,69,1.173913043478261,0.36231884057971014,0.37681159420289856,1,6
S3: Tech-focused students,Low | price | Wine or beer | Familiar,13,1,0.3076923076923077,0.07692307692307693,1,7
S3: Tech-focused students,High | price | No alcohol | Familiar,15,1,0.2,0.06666666666666667,0.06666666666666667,8
