year,ncessch,school_id,school_name,leaid,lea_name,state_leaid,seasch,street_mailing,city_mailing,state_mailing,zip_mailing,street_location,city_location,state_location,zip_location,phone,fips,latitude,longitude,csa,cbsa,urban_centric_locale,county_code,school_level,school_type,school_status,lowest_grade_offered,highest_grade_offered,bureau_indian_education,title_i_status,title_i_eligible,title_i_schoolwide,charter,magnet,shared_time,virtual,teachers_fte,free_lunch,reduced_price_lunch,free_or_reduced_price_lunch,elem_cedp,high_cedp,middle_cedp,ungrade_cedp,enrollment,state_leg_district_lower,state_leg_district_upper,ncessch_num,congress_district_id,direct_certification,lunch_program
2018,172409005030,05030,Maine East High School,1724090,Maine Township HSD 207,IL-05-016-2070-17,0501620700001,2601 Dempster St,Park Ridge,IL,60068,2601 Dempster St,Park Ridge,IL,60068,(847)825-4484,17,42.037983,-87.858077,176,16980,21,17031,3,1,1,9,12,NA,5,1,1,0,0,0,0,125,772,0,772,0,1,0,0,1853,17020,17010,172409005030,1709,NA,0
2018,172409005031,05031,Maine South High School,1724090,Maine Township HSD 207,IL-05-016-2070-17,0501620700003,1111 S Dee Rd,Park Ridge,IL,60068,1111 S Dee Rd,Park Ridge,IL,60068,(847)825-7711,17,42.000179,-87.85324,176,16980,21,17031,3,1,1,9,12,NA,6,0,0,0,0,0,0,144,153,0,153,0,1,0,0,2390,17055,17028,172409005031,1709,NA,0
2018,172409005032,05032,Maine West High School,1724090,Maine Township HSD 207,IL-05-016-2070-17,0501620700004,1755 S Wolf Rd,Des Plaines,IL,60018,1755 S Wolf Rd,Des Plaines,IL,60018,(847)827-6176,17,42.021018,-87.906891,176,16980,13,17031,3,1,1,9,12,NA,5,1,1,0,0,0,0,129,662,0,662,0,1,0,0,2076,17055,17028,172409005032,1705,NA,0
2018,172409005034,05034,Ralph J Frost Academy,1724090,Maine Township HSD 207,IL-05-016-2070-17,0501620703002,1177 S Dee Rd,Park Ridge,IL,60068,1177 S Dee Rd,Park Ridge,IL,60068,(847)292-6521,17,41.99652,-87.854631,176,16980,21,17031,3,1,1,9,12,NA,6,0,0,0,0,0,0,4,10,0,10,0,1,0,0,24,17055,17028,172409005034,1709,NA,0
2019,172409005030,05030,Maine East High School,1724090,Maine Township HSD 207,IL-05-016-2070-17,0501620700001,2601 Dempster St,Park Ridge,IL,60068,2601 Dempster St,Park Ridge,IL,60068,(847)825-4484,17,42.038,-87.8581,176,16980,21,17031,3,1,1,9,12,NA,5,1,1,0,0,0,0,122,689,0,689,0,1,0,0,1826,17020,17010,172409005030,1709,NA,0
2019,172409005031,05031,Maine South High School,1724090,Maine Township HSD 207,IL-05-016-2070-17,0501620700003,1111 S Dee Rd,Park Ridge,IL,60068,1111 S Dee Rd,Park Ridge,IL,60068,(847)825-7711,17,42.0002,-87.8532,176,16980,21,17031,3,1,1,9,12,NA,6,0,0,0,0,0,0,134,130,0,130,0,1,0,0,2375,17055,17028,172409005031,1709,NA,0
2019,172409005032,05032,Maine West High School,1724090,Maine Township HSD 207,IL-05-016-2070-17,0501620700004,1755 S Wolf Rd,Des Plaines,IL,60018,1755 S Wolf Rd,Des Plaines,IL,60018,(847)827-6176,17,42.021,-87.9069,176,16980,13,17031,3,1,1,9,12,NA,5,1,1,0,0,0,0,127,649,0,649,0,1,0,0,2049,17055,17028,172409005032,1705,NA,0
2019,172409005034,05034,Ralph J Frost Academy,1724090,Maine Township HSD 207,IL-05-016-2070-17,0501620703002,1177 S Dee Rd,Park Ridge,IL,60068,1177 S Dee Rd,Park Ridge,IL,60068,(847)292-6521,17,41.996542,-87.854753,176,16980,21,17031,3,1,1,9,12,NA,6,0,0,0,0,0,0,4,11,0,11,0,1,0,0,25,17055,17028,172409005034,1709,NA,0
2020,172409005030,1705030,Maine East High School,1724090,Maine Township HSD 207,IL-05-016-2070-17,0501620700001,2601 Dempster St,Park Ridge,IL,60068,2601 Dempster St,Park Ridge,IL,60068,(847)825-4484,17,42.037404,-87.857907,176,16980,21,17031,3,1,1,9,12,NA,-1,-1,-1,0,-1,-1,-1,NA,NA,NA,NA,0,1,0,0,1887,17020,17010,172409005030,1709,NA,-1
2020,172409005031,1705031,Maine South High School,1724090,Maine Township HSD 207,IL-05-016-2070-17,0501620700003,1111 S Dee Rd,Park Ridge,IL,60068,1111 S Dee Rd,Park Ridge,IL,60068,(847)825-7711,17,42.0002,-87.8532,176,16980,21,17031,3,1,1,9,12,NA,-1,-1,-1,0,-1,-1,-1,NA,NA,NA,NA,0,1,0,0,2415,17055,17028,172409005031,1709,NA,-1
