crdc_id,year,ncessch,leaid,fips,disability,suspensions_instances_preschool,suspensions_instances,corpinstances_preschool,corpinstances
172409005030,2021,172409005030,1724090,17,0,-2.000,62.000,-2.000,-2.000
172409005030,2021,172409005030,1724090,17,1,-2.000,35.000,-2.000,-1.000
172409005030,2021,172409005030,1724090,17,2,-1.000,1.000,-1.000,-1.000
172409005030,2021,172409005030,1724090,17,3,-1.000,63.000,-1.000,-1.000
172409005030,2021,172409005030,1724090,17,4,-1.000,36.000,-1.000,-2.000
172409005030,2021,172409005030,1724090,17,99,-2.000,98.000,-2.000,-2.000
172409005031,2021,172409005031,1724090,17,0,-2.000,27.000,-2.000,-2.000
172409005031,2021,172409005031,1724090,17,1,-2.000,12.000,-2.000,-1.000
172409005031,2021,172409005031,1724090,17,2,-1.000,7.000,-1.000,-1.000
172409005031,2021,172409005031,1724090,17,3,-1.000,34.000,-1.000,-1.000
172409005031,2021,172409005031,1724090,17,4,-1.000,19.000,-1.000,-2.000
172409005031,2021,172409005031,1724090,17,99,-2.000,46.000,-2.000,-2.000
172409005032,2021,172409005032,1724090,17,0,-2.000,96.000,-2.000,-2.000
172409005032,2021,172409005032,1724090,17,1,-2.000,42.000,-2.000,-1.000
172409005032,2021,172409005032,1724090,17,2,-1.000,7.000,-1.000,-1.000
172409005032,2021,172409005032,1724090,17,3,-1.000,103.000,-1.000,-1.000
172409005032,2021,172409005032,1724090,17,4,-1.000,49.000,-1.000,-2.000
172409005032,2021,172409005032,1724090,17,99,-2.000,145.000,-2.000,-2.000
172409005034,2021,172409005034,1724090,17,0,-2.000,0.000,-2.000,-2.000
172409005034,2021,172409005034,1724090,17,1,-2.000,1.000,-2.000,-1.000
172409005034,2021,172409005034,1724090,17,2,-1.000,0.000,-1.000,-1.000
172409005034,2021,172409005034,1724090,17,3,-1.000,0.000,-1.000,-1.000
172409005034,2021,172409005034,1724090,17,4,-1.000,1.000,-1.000,-2.000
172409005034,2021,172409005034,1724090,17,99,-2.000,1.000,-2.000,-2.000
