crdc_id,ncessch,year,fips,leaid,race,sex,disability,lep,enrollment_crdc,psenrollment_crdc
172409005030,172409005030,2021,17,1724090,99,2,99,99,858,-2
172409005030,172409005030,2021,17,1724090,99,1,99,99,986,-2
172409005030,172409005030,2021,17,1724090,99,99,99,99,1844,-2
172409005030,172409005030,2021,17,1724090,99,3,99,99,-2,-1
172409005030,172409005030,2021,17,1724090,5,2,99,99,2,-2
172409005030,172409005030,2021,17,1724090,5,1,99,99,4,-2
172409005030,172409005030,2021,17,1724090,5,99,99,99,6,-2
172409005030,172409005030,2021,17,1724090,5,3,99,99,-2,-1
172409005030,172409005030,2021,17,1724090,4,2,99,99,251,-2
172409005030,172409005030,2021,17,1724090,4,1,99,99,319,-2
172409005030,172409005030,2021,17,1724090,4,99,99,99,570,-2
172409005030,172409005030,2021,17,1724090,4,3,99,99,-2,-1
172409005030,172409005030,2021,17,1724090,2,2,99,99,47,-2
172409005030,172409005030,2021,17,1724090,2,1,99,99,40,-2
172409005030,172409005030,2021,17,1724090,2,99,99,99,87,-2
172409005030,172409005030,2021,17,1724090,2,3,99,99,-2,-1
172409005030,172409005030,2021,17,1724090,3,2,99,99,228,-2
172409005030,172409005030,2021,17,1724090,3,1,99,99,234,-2
172409005030,172409005030,2021,17,1724090,3,99,99,99,462,-2
172409005030,172409005030,2021,17,1724090,3,3,99,99,-2,-1
172409005030,172409005030,2021,17,1724090,6,2,99,99,1,-2
172409005030,172409005030,2021,17,1724090,6,1,99,99,1,-2
172409005030,172409005030,2021,17,1724090,6,99,99,99,2,-2
172409005030,172409005030,2021,17,1724090,6,3,99,99,-2,-1
172409005030,172409005030,2021,17,1724090,7,2,99,99,24,-2
172409005030,172409005030,2021,17,1724090,7,1,99,99,27,-2
172409005030,172409005030,2021,17,1724090,7,99,99,99,51,-2
172409005030,172409005030,2021,17,1724090,7,3,99,99,-2,-1
172409005030,172409005030,2021,17,1724090,1,2,99,99,305,-2
172409005030,172409005030,2021,17,1724090,1,1,99,99,361,-2
172409005030,172409005030,2021,17,1724090,1,99,99,99,666,-2
172409005030,172409005030,2021,17,1724090,1,3,99,99,-2,-1
172409005031,172409005031,2021,17,1724090,99,2,99,99,1187,-2
172409005031,172409005031,2021,17,1724090,99,1,99,99,1237,-2
172409005031,172409005031,2021,17,1724090,99,99,99,99,2424,-2
