feature,coefficient,abs_coefficient
Amount,2.072314823708514,2.072314823708514
V12,-1.283672698999306,1.283672698999306
V4,1.18823974047861,1.18823974047861
V1,1.1741285426091903,1.1741285426091903
V14,-1.0976467941971637,1.0976467941971637
V2,1.0002920758475444,1.0002920758475444
V5,0.9959903129666037,0.9959903129666037
V6,-0.7675749541946507,0.7675749541946507
V10,-0.7209921442616382,0.7209921442616382
V20,-0.7080546205551893,0.7080546205551893
hour_of_day,0.7011045839288252,0.7011045839288252
V22,0.6837183958993522,0.6837183958993522
V16,-0.6252118763488645,0.6252118763488645
V7,-0.5860224130330773,0.5860224130330773
V17,-0.5593213844503251,0.5593213844503251
V8,-0.485458161862537,0.485458161862537
V13,-0.35994056468144286,0.35994056468144286
time_hours,-0.32087816654576284,0.32087816654576284
Time,-0.3208781665457594,0.3208781665457594
V9,-0.2937434357348736,0.2937434357348736
V11,0.2905340054311212,0.2905340054311212
V24,-0.27252167769150615,0.27252167769150615
V23,0.22124271904361983,0.22124271904361983
V15,-0.1994783487454186,0.1994783487454186
V19,0.17082676553600948,0.17082676553600948
V3,0.1694488035141903,0.1694488035141903
V28,0.13383850531269895,0.13383850531269895
V27,-0.09009243047848804,0.09009243047848804
V21,0.06863594115053205,0.06863594115053205
V18,-0.053468908427219054,0.053468908427219054
V26,0.045825376780258956,0.045825376780258956
amount_is_zero,-0.03373347005682848,0.03373347005682848
amount_log,0.024112258314311557,0.024112258314311557
V25,0.017257549026258534,0.017257549026258534
