feature,importance
V14,0.15891570683803602
V10,0.11804068691415759
V12,0.1048975947479081
V4,0.09413570807280154
V17,0.09106424212945373
V11,0.08412329597627677
V16,0.05728889367985344
V7,0.04263933520557492
V3,0.02809477892718392
V18,0.020782484217994217
V21,0.020615522189739742
V2,0.017841796432250704
V19,0.012873033812245176
V1,0.011544084370119062
V8,0.01056874037000297
V9,0.010441798340042621
Amount,0.009442759894283604
amount_log,0.009236750923005544
V20,0.008978754471061955
V6,0.008798330649994298
V27,0.00855753931395415
V28,0.008332954594370003
V26,0.006605943159312228
V13,0.006565948487976163
V23,0.006411795012040806
V5,0.00638496956241393
V25,0.006233903630810135
V15,0.006148157182771253
hour_of_day,0.006010085730074416
V22,0.004940512570848309
Time,0.004722171173441009
V24,0.0045225380759764495
time_hours,0.004234750286665117
amount_is_zero,4.4330573601760205e-06
