review_rate,reviewed_transactions,fraud_found,precision_at_review_rate,fraud_capture_rate,lift_over_random,model,split
0.005,997,384,0.38515546639919757,1.0,199.96389167502505,balanced_random_forest,train
0.01,1994,384,0.19257773319959878,1.0,99.98194583751253,balanced_random_forest,train
0.02,3988,384,0.09628886659979939,1.0,49.99097291875626,balanced_random_forest,train
0.05,9969,384,0.03851941017153175,1.0,19.998395024576187,balanced_random_forest,train
0.005,214,51,0.2383177570093458,0.9107142857142857,181.8066588785047,balanced_random_forest,validation
0.01,428,51,0.1191588785046729,0.9107142857142857,90.90332943925235,balanced_random_forest,validation
0.02,855,51,0.05964912280701754,0.9107142857142857,45.50482456140351,balanced_random_forest,validation
0.05,2137,52,0.024333177351427236,0.9285714285714286,18.563172671970054,balanced_random_forest,validation
0.005,214,43,0.20093457943925233,0.8269230769230769,165.0832135154565,balanced_random_forest,test
0.01,428,44,0.102803738317757,0.8461538461538461,84.46117900790797,balanced_random_forest,test
0.02,855,45,0.05263157894736842,0.8653846153846154,43.24089068825911,balanced_random_forest,test
0.05,2137,47,0.021993448759943846,0.9038461538461539,18.069309960044635,balanced_random_forest,test
