term,estimate,std.error,statistic,p.value,conf.low,conf.high,odds_ratio,conf_low_or,conf_high_or
insurance_statusUninsured,0.0016,0.1209,0.0135,0.9894,-0.2561,0.2594,1.0016,0.774,1.2962
usual_careNo usual place,-0.4326,0.1125,-3.8456,0.0016,-0.6724,-0.1928,0.6488,0.5105,0.8246
age_group35-49,0.406,0.1627,2.4952,0.0247,0.0592,0.7529,1.5009,1.061,2.1231
age_group50-64,0.7152,0.1897,3.7693,0.0019,0.3108,1.1197,2.0446,1.3645,3.0638
age_group65+,0.8015,0.2227,3.5995,0.0026,0.3269,1.2762,2.2289,1.3867,3.5828
genderMale,0.0495,0.0746,0.6625,0.5177,-0.1097,0.2086,1.0507,0.8961,1.2319
race_ethnicityMexican American,0.5396,0.1203,4.486,4e-4,0.2832,0.796,1.7153,1.3274,2.2166
race_ethnicityNon-Hispanic Asian,-0.1795,0.1311,-1.3695,0.191,-0.459,0.0999,0.8357,0.6319,1.105
race_ethnicityNon-Hispanic Black,0.1061,0.0821,1.2915,0.2161,-0.069,0.2812,1.1119,0.9333,1.3247
race_ethnicityOther Hispanic,0.4066,0.1111,3.6599,0.0023,0.1698,0.6435,1.5018,1.1851,1.9031
race_ethnicityOther/multiracial,0.5135,0.2717,1.8897,0.0783,-0.0657,1.0927,1.6711,0.9364,2.9823
educationHigh school/GED,0.6087,0.2228,2.7319,0.0154,0.1338,1.0837,1.8381,1.1432,2.9555
educationLess than high school,1.1885,0.249,4.7722,2e-4,0.6577,1.7193,3.2821,1.9303,5.5805
educationSome college/AA,0.2527,0.1615,1.565,0.1384,-0.0914,0.5968,1.2875,0.9126,1.8163
poverty_ratio_imputed,-0.2943,0.0356,-8.2788,0,-0.3701,-0.2186,0.745,0.6907,0.8037
poverty_ratio_missingMissing income ratio,0.0579,0.1331,0.4348,0.6699,-0.2258,0.3416,1.0596,0.7979,1.4071
