provider_state,provider_city,market,records,providers,service_families,services,estimated_payment,median_charge_to_allowed_ratio,top_priority_records
IL,CHICAGO,"CHICAGO, IL",16909,7961,6,1992025,142210007.48001286,2.484183047674153,1331
IN,INDIANAPOLIS,"INDIANAPOLIS, IN",8477,3682,6,984193,63639006.95001586,1.9457795941354543,534
IN,FORT WAYNE,"FORT WAYNE, IN",3459,1557,6,383824,24492752.38000749,1.9481132075767065,234
IN,EVANSVILLE,"EVANSVILLE, IN",1930,871,6,357457,21759197.429997437,2.223485342591995,271
IL,SPRINGFIELD,"SPRINGFIELD, IL",2449,1027,6,322346,22068221.019990202,3.7194072039589927,249
IL,PEORIA,"PEORIA, IL",2153,948,6,316994,20959034.400002234,2.7640779677675225,195
IL,NAPERVILLE,"NAPERVILLE, IL",1899,763,6,282776,19822036.219995905,2.084957776894774,176
IL,ROCKFORD,"ROCKFORD, IL",1762,762,6,236088,13749594.899994927,2.55808195105614,114
IL,ARLINGTON HEIGHTS,"ARLINGTON HEIGHTS, IL",1195,440,6,234817,15995755.71001443,2.0341847804570388,145
IN,MUNSTER,"MUNSTER, IN",1156,402,6,208197,13123893.729999915,2.2903858468484484,177
IL,OAK LAWN,"OAK LAWN, IL",1244,609,6,205850,13340689.929994918,2.2362679603224604,138
IL,GLENVIEW,"GLENVIEW, IL",1029,380,6,198019,11996200.029995205,1.9534238192153626,97
IN,CARMEL,"CARMEL, IN",1537,598,6,197413,11675183.41000299,1.9220208676551345,128
IL,PARK RIDGE,"PARK RIDGE, IL",1211,489,6,192458,13940586.94998728,2.1756690314047047,138
IL,ELGIN,"ELGIN, IL",971,380,6,191805,13314139.459999118,2.129970311035787,134
IL,JOLIET,"JOLIET, IL",951,370,6,189864,13375374.519992623,2.023681944000993,124
IN,LAFAYETTE,"LAFAYETTE, IN",1248,533,6,186111,12351599.990002068,1.912017817638013,124
IN,SOUTH BEND,"SOUTH BEND, IN",1163,498,6,181846,9834114.499997212,2.3010841165371048,133
IL,SKOKIE,"SKOKIE, IL",1156,384,6,171866,11289829.610009223,1.8921846665181965,76
IN,TERRE HAUTE,"TERRE HAUTE, IN",805,323,6,169190,10608888.089996204,1.8872313088465145,123
IL,EVANSTON,"EVANSTON, IL",1235,554,6,165500,12085140.239988808,1.9653048112247828,81
IL,ORLAND PARK,"ORLAND PARK, IL",851,332,6,160479,10348185.739998419,2.0806400468360957,114
IN,BLOOMINGTON,"BLOOMINGTON, IN",1094,484,6,160085,9764294.249998773,1.8659360899871535,75
IL,AURORA,"AURORA, IL",1122,466,6,159421,10426501.48000081,2.17128902300701,82
IL,MAYWOOD,"MAYWOOD, IL",1557,567,6,145796,10769527.000004202,4.156957188317836,108
IL,QUINCY,"QUINCY, IL",632,270,6,143615,7704972.600002198,2.3755912748804047,84
IN,GREENWOOD,"GREENWOOD, IN",954,385,6,140389,8381127.120000659,1.9893436338597064,87
IL,LIBERTYVILLE,"LIBERTYVILLE, IL",712,260,6,139744,9239220.700001583,2.2236424231738714,98
IL,ELMHURST,"ELMHURST, IL",872,336,6,137567,10458869.370005213,2.144974218603007,106
IL,SCHAUMBURG,"SCHAUMBURG, IL",575,241,6,136737,7341240.300007419,2.1595316903063475,74
IL,HINSDALE,"HINSDALE, IL",852,308,6,132834,9843883.599995144,2.575603377121089,113
IL,MOLINE,"MOLINE, IL",568,224,6,129999,7113634.649994536,2.2841211472462013,77
IN,MUNCIE,"MUNCIE, IN",865,348,6,129616,8421326.740005959,1.8220151917719514,82
IL,ELK GROVE VILLAGE,"ELK GROVE VILLAGE, IL",643,228,6,128972,9782231.379999954,2.046819233620175,101
IN,MERRILLVILLE,"MERRILLVILLE, IN",597,212,6,127455,8061141.7499987995,1.930291762320505,110
IL,BLOOMINGTON,"BLOOMINGTON, IL",687,283,6,126398,7062058.179993331,2.6093054355093854,68
IL,DECATUR,"DECATUR, IL",661,262,6,125554,8247197.769998526,2.6394154436287147,87
IN,VALPARAISO,"VALPARAISO, IN",525,209,6,119599,6950777.309993077,2.290076335877863,97
IN,NEW ALBANY,"NEW ALBANY, IN",640,243,6,112563,7229041.870002159,2.0538864749091283,88
IN,CROWN POINT,"CROWN POINT, IN",560,233,6,110728,6291574.609995128,2.1662052143009562,81
IN,NEWBURGH,"NEWBURGH, IN",716,267,6,108696,7092353.569999728,2.1876456961076407,73
IN,KOKOMO,"KOKOMO, IN",563,236,6,106126,6217006.979999053,1.7307080515127369,65
IL,CHAMPAIGN,"CHAMPAIGN, IL",802,305,6,102680,6205732.280003103,2.5291362836739344,65
IL,GENEVA,"GENEVA, IL",573,221,6,102123,6820405.490014243,1.8798051824683906,63
IN,RICHMOND,"RICHMOND, IN",611,246,6,101038,6974174.170001215,3.102704362357479,93
IL,PALOS HEIGHTS,"PALOS HEIGHTS, IL",493,215,6,100208,6754824.590002141,2.1062420129867068,64
IN,ELKHART,"ELKHART, IN",544,218,6,99819,6262277.730001652,2.3017320940001174,86
IL,WHEATON,"WHEATON, IL",554,214,6,98599,7148027.5900052525,1.6893148981110304,56
IL,WINFIELD,"WINFIELD, IL",725,287,6,98032,8128226.839994902,2.055909500318137,55
IL,HOFFMAN ESTATES,"HOFFMAN ESTATES, IL",476,192,6,93356,5593225.350000326,1.9657680177665426,53
