year,hcpcs_code,hcpcs_description,operations_group,service_family,records,providers,services,estimated_payment,median_services_per_beneficiary,median_payment_per_service,high_volume_flags,rapid_growth_flags
2023,93000,Routine electrocardiogram (ecg) using at least 12 leads with interpretation and report,Diagnostics and procedures,ECG and diagnostic testing,3441,3441,399030,4031911.289998873,1.0454545454545454,9.9988888889,241,0
2023,97110,"Therapy procedure using exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",Diagnostics and procedures,Therapeutic procedure,5574,5574,3923565,68462204.65001535,9.335205992509364,17.553216065500003,3136,0
2023,99203,"New patient office or other outpatient visit, 30-44 minutes",Core visits,New patient office visit,9856,9647,484638,34273349.209995516,1,69.67986842100001,17,0
2023,99204,"New patient office or other outpatient visit, 45-59 minutes",Core visits,New patient office visit,13766,13276,638440,70780047.7400307,1,109.38921214999999,15,0
2023,99213,"Established patient office or other outpatient visit, 20-29 minutes",Core visits,Established patient office visit,29237,28208,4086429.1,234212094.71999377,1.2070588235294117,55.52625,2193,0
2023,99214,"Established patient office or other outpatient visit, 30-39 minutes",Core visits,Established patient office visit,30642,29075,5865364.8,480258269.44997114,1.3208051659771969,80.1964111885,4248,0
2023,99215,"Established patient office or other outpatient visit, 40-54 minutes",Core visits,Established patient office visit,9438,8974,680918,82347613.80006899,1.1666666666666667,119.37080356999999,168,0
2023,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",Follow-up and acuity,Subsequent hospital or follow-up care,11946,11924,2377449,145687852.04001436,1.861544133136718,60.6890451025,1547,0
2023,99285,Emergency department visit with high level of medical decision making,Follow-up and acuity,Emergency or high-acuity evaluation,4001,4001,627427,86520915.09996283,1.0217391304347827,133.75,205,0
2024,93000,Routine electrocardiogram (ecg) using at least 12 leads with interpretation and report,Diagnostics and procedures,ECG and diagnostic testing,3203,3203,381874,3783252.6100005414,1.0465116279069768,9.8538461538,240,474
2024,97110,"Therapy procedure using exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",Diagnostics and procedures,Therapeutic procedure,5684,5683,3768222,64003004.09000692,8.85480093676815,17.116521612,3126,1064
2024,99203,"New patient office or other outpatient visit with low level of medical decision making, if using time, 30 minutes or more",Core visits,New patient office visit,9638,9446,446247,30713900.38999885,1,67.7959823885,14,1191
2024,99204,"New patient office or other outpatient visit with moderate level of medical decision making, if using time, 45 minutes or more",Core visits,New patient office visit,14169,13703,655896,71828493.35003084,1,107.53624999999998,22,2173
2024,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",Core visits,Established patient office visit,29025,27967,3896265,221414233.10001495,1.2,55.127857143,2156,4460
2024,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",Core visits,Established patient office visit,31631,29953,5968515,484675327.15004826,1.3203125,79.346210526,4476,5595
2024,99215,"Established patient office or other outpatient visit with high level of medical decision making, if using time, 40 minutes or more",Core visits,Established patient office visit,10066,9536,727543,87938456.27002098,1.1666666666666667,119.07,198,1917
2024,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",Follow-up and acuity,Subsequent hospital or follow-up care,12000,11957,2243133,134221558.0499874,1.8355575065847234,59.418145769999995,1440,2122
2024,99285,Emergency department visit with high level of medical decision making,Follow-up and acuity,Emergency or high-acuity evaluation,4088,4088,633701,83646042.08993815,1.0219298245614035,128.73779018,260,651
