operational_priority_decile,records,providers,services,estimated_payment,high_volume_flags,high_intensity_flags,rapid_growth_flags,record_share,service_share,payment_share
1,11950,10182,190659,10748037.01999891,0,1,25,0.09999665283170438,0.010184016191954916,0.009091368972118508
2,11950,10441,261720,17362249.570001315,0,3,191,0.09999665283170438,0.013979726725507008,0.01468608795570597
3,11951,10500,373989,24668281.819999076,0,45,741,0.10000502075244343,0.019976555167146724,0.020865991763567394
4,11950,10585,528354,34836245.089996584,0,155,1502,0.09999665283170438,0.028221933877153178,0.029466697698101414
5,11951,10626,751494,48689935.19000411,0,279,2067,0.10000502075244343,0.04014091684188508,0.04118502431813445
6,11950,10747,1090295,69172693.2500096,17,458,2458,0.09999665283170438,0.0582379113181517,0.05851063556636991
7,11950,10805,1587433,99066330.01001747,282,744,2707,0.09999665283170438,0.08479244816999758,0.08379656277317296
8,11951,10904,2431814,145238920.0900153,981,1110,2917,0.10000502075244343,0.1298949074096825,0.12285225750464511
9,11950,10993,4011073,234559053.49998367,2826,1797,3138,0.09999665283170438,0.2142507428399036,0.19840487124777814
10,11951,10738,7494565,497882521.56002086,7826,4503,3901,0.10000502075244343,0.40032084145861774,0.42114050220040616
