provider_type,records,providers,services,estimated_payment,high_volume_flags,rapid_growth_flags
Physical Therapist in Private Practice,4744,4743,3274513,55531221.94999843,2716,875
Nurse Practitioner,21585,9886,2128455,132249692.67998417,859,3957
Internal Medicine,10654,4531,1965776,144042681.46001363,1475,1580
Family Practice,11513,4577,1640567,120407196.51000959,1093,1750
Cardiology,4459,992,833351,56909047.38001567,638,666
Physician Assistant,8777,3914,780005,49917627.520009644,282,1635
Emergency Medicine,3657,3072,609480,78297475.38994586,276,571
Orthopedic Surgery,4172,1148,524158,38470108.6100018,247,691
Dermatology,2106,617,477162,33493129.929996036,362,399
Podiatry,3079,961,464793,32192221.439989984,295,464
Ophthalmology,2118,741,452668,36047724.42001848,339,318
Hematology-Oncology,2278,593,424955,36889552.24001408,310,393
Occupational Therapist in Private Practice,764,764,398955,6775936.570007184,332,164
Nephrology,1852,572,364110,25418305.88999676,279,267
Urology,2206,516,355066,28967224.699990004,271,342
Hospitalist,1546,1267,297114,18587488.8899996,218,252
Interventional Cardiology,1659,356,288978,20604726.990005456,214,267
Optometry,3158,1607,287571,19810548.380006462,113,577
Neurology,2570,835,270146,23278547.24000168,133,372
Pulmonary Disease,2107,597,262459,21405675.580000896,146,347
Physical Medicine and Rehabilitation,1134,424,256784,18624229.790009994,164,188
Psychiatry,1338,844,209158,14980565.699998531,116,196
Otolaryngology,1749,465,199145,15831382.559995217,86,275
Gastroenterology,2661,780,184071,14993410.290001703,32,392
Endocrinology,1178,348,180258,15429602.310011227,148,159
Clinical Cardiac Electrophysiology,918,185,165004,10516356.360005196,124,157
Rheumatology,892,281,141124,12322964.039997295,111,111
General Surgery,2955,1005,140836,10581275.769993845,19,466
Infectious Disease,882,350,128461,8455176.639997818,84,129
Medical Oncology,572,140,110143,9095503.60000579,78,73
Anesthesiology,622,235,84232,6831120.820006226,52,120
Obstetrics & Gynecology,1651,896,82959,6484417.370002671,16,219
Pain Management,451,136,82758,6835719.37000057,67,70
Sports Medicine,579,146,65525,5035860.580003649,22,106
Hand Surgery,456,119,65380,4968952.110000675,28,72
Interventional Pain Management,222,72,47935,3925420.0200115102,40,23
Neurosurgery,774,230,41987,3561547.970000079,1,121
Vascular Surgery,572,155,40598,3358020.659994436,9,113
Allergy/ Immunology,544,184,39053,3335559.590000593,5,72
Critical Care (Intensivists),389,169,38684,3076160.729996369,22,67
Radiation Oncology,635,254,37147,2661264.119998983,0,121
Geriatric Medicine,223,85,29797,2410167.660003456,14,32
General Practice,186,86,29405,2070151.0900000976,21,19
Certified Clinical Nurse Specialist,237,127,24481,1570673.3500007468,12,42
Hematology,97,27,21336,1975029.990002578,13,12
Sleep Medicine,203,56,19423,1680473.040001499,6,43
Advanced Heart Failure and Transplant Cardiology,190,53,18762,1644591.2599993742,6,27
Colorectal Surgery (Proctology),354,97,14670,1118849.560000581,1,45
Plastic and Reconstructive Surgery,321,153,14484,1145594.100002928,1,38
Thoracic Surgery,267,111,11599,1090208.610000572,1,41
Gynecological Oncology,166,54,11249,975416.580000014,1,22
Pediatric Medicine,140,73,10323,809196.5399993543,3,20
Hospice and Palliative Care,130,76,9523,794665.4600017571,1,28
Cardiac Surgery,107,53,8318,665066.1999983987,2,15
Micrographic Dermatologic Surgery,33,12,8132,586756.269999063,8,11
Surgical Oncology,155,57,7187,564354.989999582,0,17
Osteopathic Manipulative Medicine,61,27,6120,488808.919999036,1,20
Interventional Radiology,105,51,5624,436005.900000936,1,20
Diagnostic Radiology,94,53,4054,304882.909999702,1,15
Neuropsychiatry,52,20,3464,332333.770000476,1,9
Independent Diagnostic Testing Facility (IDTF),13,13,3142,33459.4799995643,4,4
Certified Nurse Midwife,25,18,2116,143463.609999869,2,3
Portable X-Ray Supplier,7,7,2108,24032.6600000866,2,2
Undefined Physician type,9,4,1950,140778.039999918,1,1
Hematopoietic Cell Transplantation and Cellular Therapy,9,5,1926,182998.909998249,1,3
Dentist,19,8,1470,105305.320000216,1,3
Addiction Medicine,10,6,1452,133795.779998882,2,2
Oral Surgery (Dentist only),22,13,1337,99838.749999927,0,4
Nuclear Medicine,5,1,994,74072.5599999698,1,1
Undersea and Hyperbaric Medicine,8,3,981,61599.260000506,1,2
Certified Registered Nurse Anesthetist (CRNA),16,9,907,56574.959999982,0,0
Adult Congenital Heart Disease,8,2,726,66437.840001409,0,1
Pathology,13,10,705,70172.210000322,0,2
Preventive Medicine,7,3,689,61692.959999634,1,2
Maxillofacial Surgery,23,16,657,52604.92000019,0,2
Peripheral Vascular Disease,8,2,546,41418.150000125,0,1
Geriatric Psychiatry,2,2,198,10111.040000072,0,1
Medical Genetics and Genomics,1,1,17,2040.2800000299999,0,0
