year,operations_group,service_family,records,providers,markets,services,beneficiaries,estimated_payment,estimated_allowed,median_payment_per_service,median_charge_to_allowed_ratio
2023,Core visits,Established patient office visit,69317,35187,785,10632711.9,6810293,796817977.9700339,1138657442.1999784,70.16361809,1.9449829968843106
2023,Core visits,New patient office visit,23622,17504,585,1123078,1122943,105053396.95002621,150746029.82001024,91.9558705355,2.1236338380427755
2023,Diagnostics and procedures,ECG and diagnostic testing,3441,3441,340,399030,336714,4031911.289998873,5647139.830002793,9.9988888889,5.175038051750381
2023,Diagnostics and procedures,Therapeutic procedure,5574,5574,489,3923565,337427,68462204.65001535,88814570.63999891,17.553216065500003,3.367796857055832
2023,Follow-up and acuity,Emergency or high-acuity evaluation,4001,4001,315,627427,605673,86520915.09996283,108837859.939957,133.75,6.616442704254206
2023,Follow-up and acuity,Subsequent hospital or follow-up care,11946,11924,445,2377449,924524,145687852.04001436,184068031.51000014,60.6890451025,2.1852964844857006
2024,Core visits,Established patient office visit,70722,35767,785,10592323,6835544,794028016.5200841,1136156170.449777,69.958581997,2.0664142671321137
2024,Core visits,New patient office visit,23807,17496,568,1102143,1102034,102542393.7400297,148137215.30997154,90.7440625,2.2196747376235924
2024,Diagnostics and procedures,ECG and diagnostic testing,3203,3203,329,381874,323833,3783252.6100005414,5301827.739998093,9.8538461538,5.345911949685535
2024,Diagnostics and procedures,Therapeutic procedure,5684,5683,480,3768222,334445,64003004.09000692,83231180.83000506,17.116521612,3.4981155100251726
2024,Follow-up and acuity,Emergency or high-acuity evaluation,4088,4088,312,633701,610853,83646042.08993815,108469453.83995318,128.73779018,6.80362973731757
2024,Follow-up and acuity,Subsequent hospital or follow-up care,12000,11957,435,2243133,875014,134221558.0499874,169804630.74000105,59.418145769999995,2.279993441876469
