breast_cancer_diagnosis_code,breast_cancer_diagnosis_desc
C50912,Malignant neoplasm of unspecified site of left female breast
C50412,Malig neoplasm of upper-outer quadrant of left female breast
1749,"Malignant neoplasm of breast (female), unspecified"
C50911,Malignant neoplasm of unsp site of right female breast
1748,Malignant neoplasm of other specified sites of female breast
C50411,Malig neoplm of upper-outer quadrant of right female breast
C50212,Malig neoplasm of upper-inner quadrant of left female breast
C50811,Malignant neoplasm of ovrlp sites of right female breast
C50919,Malignant neoplasm of unsp site of unspecified female breast
C50211,Malig neoplm of upper-inner quadrant of right female breast
1744,Malignant neoplasm of upper-outer quadrant of female breast
C50012,"Malignant neoplasm of nipple and areola, left female breast"
C50112,Malignant neoplasm of central portion of left female breast
C50812,Malignant neoplasm of ovrlp sites of left female breast
C50311,Malig neoplm of lower-inner quadrant of right female breast
C50011,"Malignant neoplasm of nipple and areola, right female breast"
C50511,Malig neoplm of lower-outer quadrant of right female breast
C50512,Malig neoplasm of lower-outer quadrant of left female breast
1741,Malignant neoplasm of central portion of female breast
C50819,Malignant neoplasm of ovrlp sites of unsp female breast
1745,Malignant neoplasm of lower-outer quadrant of female breast
1742,Malignant neoplasm of upper-inner quadrant of female breast
C50312,Malig neoplasm of lower-inner quadrant of left female breast
19881,Secondary malignant neoplasm of breast
C50219,Malig neoplasm of upper-inner quadrant of unsp female breast
C50111,Malignant neoplasm of central portion of right female breast
C50611,Malignant neoplasm of axillary tail of right female breast
1743,Malignant neoplasm of lower-inner quadrant of female breast
C50612,Malignant neoplasm of axillary tail of left female breast
C5091,"Malignant neoplasm of breast of unspecified site, female"
C5011,"Malignant neoplasm of central portion of breast, female"
C50519,Malig neoplasm of lower-outer quadrant of unsp female breast
C50421,Malig neoplasm of upper-outer quadrant of right male breast
C50319,Malig neoplasm of lower-inner quadrant of unsp female breast
C50419,Malig neoplasm of upper-outer quadrant of unsp female breast
C5041,"Malignant neoplasm of upper-outer quadrant of breast, female"
C5081,"Malignant neoplasm of overlapping sites of breast, female"
1746,Malignant neoplasm of axillary tail of female breast
C5031,"Malignant neoplasm of lower-inner quadrant of breast, female"
C50922,Malignant neoplasm of unspecified site of left male breast
C50119,Malignant neoplasm of central portion of unsp female breast
C5001,"Malignant neoplasm of nipple and areola, female"
C50221,Malig neoplasm of upper-inner quadrant of right male breast
C509,Malignant neoplasm of breast of unspecified site
C50019,"Malignant neoplasm of nipple and areola, unsp female breast"
C50122,Malignant neoplasm of central portion of left male breast
C50619,Malignant neoplasm of axillary tail of unsp female breast
